This table is produced by alphabetarandomizer.pro
This table was produced with 50000 iterations of alpha and beta combinations

Pulsar #       Jname             Period (s)     % W<rho      % W>rho      % W=rho      % W=NaN
_________________________________________________________________________________________________
       0        J0034-0721      0.94295100     0.306000      6.69200      0.00000      93.0020
       1        J0108-1431      0.80756500     0.356000      6.84400      0.00000      92.8000
       2        J0134-2937      0.13696200     0.986000      15.8820      0.00000      83.1320
       3        J0152-1637      0.83274200     0.354000      7.07800      0.00000      92.5680
       4        J0206-4028      0.63055000     0.360000      8.25800      0.00000      91.3820
       5        J0255-5304      0.44770800     0.468000      9.45800      0.00000      90.0740
       6        J0304+1932       1.3875840     0.266000      5.58800      0.00000      94.1460
       7        J0343-3000       2.5970270     0.164000      3.96800      0.00000      95.8680
       8        J0401-7608      0.54525300     0.490000      8.30000      0.00000      91.2100
       9        J0448-2749      0.45044800     0.534000      9.34400      0.00000      90.1220
      10        J0452-1759      0.54893900     0.506000      8.52200      0.00000      90.9720
      11        J0525+1115      0.35443800     0.586000      10.5200      0.00000      88.8940
      12        J0536-7543       1.2458560     0.332000      5.86200      0.00000      93.8060
      13        J0601-0527      0.39596900     0.530000      10.0840      0.00000      89.3860
      14        J0624-0424       1.0390760     0.332000      6.36800      0.00000      93.3000
      15        J0630-2834       1.2444190     0.282000      5.83600      0.00000      93.8820
      16        J0729-1836      0.51016000     0.430000      8.77800      0.00000      90.7920
      17        J0738-4042      0.37492000     0.562000      10.3500      0.00000      89.0880
      18        J0809-4753      0.54719900     0.476000      8.38400      0.00000      91.1400
      19        J0820-1350       1.2381300     0.294000      5.86400      0.00000      93.8420
      20        J0820-4114      0.54544600     0.454000      8.45800      0.00000      91.0880
      21        J0837-4135      0.75162400     0.372000      7.46000      0.00000      92.1680
      22        J0842-4851      0.64435400     0.418000      8.18800      0.00000      91.3940
      23        J0907-5157      0.25355600     0.790000      11.9700      0.00000      87.2400
      24        J0924-5814      0.73950100     0.352000      7.37800      0.00000      92.2700
      25        J0942-5552      0.66436700     0.442000      7.74800      0.00000      91.8100
      26        J1001-5507       1.4365830     0.236000      5.37600      0.00000      94.3880
      27        J1034-3224       1.1505900     0.292000      6.06800      0.00000      93.6400
      28        J1038-5831      0.66199200     0.432000      8.01000      0.00000      91.5580
      29        J1047-6709      0.19845100     0.780000      13.4080      0.00000      85.8120
      30        J1056-6258      0.42244700     0.540000      9.60800      0.00000      89.8520
      31        J1136-5525      0.36470600     0.602000      10.3200      0.00000      89.0780
      32        J1146-6030      0.27337200     0.672000      11.7780      0.00000      87.5500
      33        J1157-6224      0.40052200     0.532000      9.91200      0.00000      89.5560
      34        J1243-6423      0.38848100     0.566000      9.93200      0.00000      89.5020
      35        J1306-6617      0.47302600     0.484000      9.17400      0.00000      90.3420
      36        J1319-6056      0.28435100     0.682000      11.7200      0.00000      87.5980
      37        J1326-5859      0.47799100     0.540000      8.97200      0.00000      90.4880
      38        J1326-6408      0.79267000     0.338000      6.97800      0.00000      92.6840
      39        J1326-6700      0.54300900     0.500000      8.57400      0.00000      90.9260
      40        J1327-6222      0.52991300     0.444000      8.58600      0.00000      90.9700
      41        J1327-6301      0.19647900     0.796000      13.5160      0.00000      85.6880
      42        J1328-4357      0.53269900     0.478000      8.59800      0.00000      90.9240
      43        J1357-62        0.45576100     0.456000      9.26400      0.00000      90.2800
      44        J1401-6357      0.84279000     0.306000      6.98000      0.00000      92.7140
      45        J1418-3921       1.0968060     0.308000      6.10800      0.00000      93.5840
      46        J1424-5822      0.36673400     0.610000      9.98200      0.00000      89.4080
