This table is produced by alphabetarandomizer.pro
This table was produced with 50000 iterations of alpha and beta combinations

Pulsar #       Jname             Period (s)     rhonaught       % W<rho      % W>rho      % W=rho      % W=NaN
________________________________________________________________________________________________________________
       0       J0034-0721      0.94295100      0.12248459      1.48400      5.32800      0.00000      93.1880
       1       J0108-1431      0.80756500      0.13235406      1.61600      5.66200      0.00000      92.7220
       2       J0134-2937      0.13696200      0.32138527      4.45000      12.3320      0.00000      83.2180
       3       J0152-1637      0.83274200      0.13033792      1.63800      5.70600      0.00000      92.6560
       4       J0206-4028      0.63055000      0.14978428      1.85800      6.49200      0.00000      91.6500
       5       J0255-5304      0.44770800      0.17775777      2.32400      7.37400      0.00000      90.3020
       6       J0304+1932       1.3875840      0.10097093      1.20800      4.66800      0.00000      94.1240
       7       J0343-3000       2.5970270     0.073805339     0.926000      3.36000      0.00000      95.7140
       8       J0401-7608      0.54525300      0.16107457      1.98200      6.68000      0.00000      91.3380
       9       J0448-2749      0.45044800      0.17721631      2.39600      7.78800      0.00000      89.8160
      10       J0452-1759      0.54893900      0.16053287      1.90800      6.86600      0.00000      91.2260
      11       J0525+1115      0.35443800      0.19978178      2.65600      8.28000      0.00000      89.0640
      12       J0536-7543       1.2458560      0.10655948      1.28400      4.80200      0.00000      93.9140
      13       J0601-0527      0.39596900      0.18901463      2.44200      7.91200      0.00000      89.6460
      14       J0624-0424       1.0390760      0.11668159      1.48000      5.21600      0.00000      93.3040
      15       J0630-2834       1.2444190      0.10662099      1.25000      4.78200      0.00000      93.9680
      16       J0729-1836      0.51016000      0.16652246      2.14000      7.16200      0.00000      90.6980
      17       J0738-4042      0.37492000      0.19424807      2.51000      8.16600      0.00000      89.3240
      18       J0809-4753      0.54719900      0.16078790      2.12600      6.90600      0.00000      90.9680
      19       J0820-1350       1.2381300      0.10689143      1.36800      4.99600      0.00000      93.6360
      20       J0820-4114      0.54544600      0.16104607      2.11800      6.85800      0.00000      91.0240
      21       J0837-4135      0.75162400      0.13719102      1.71400      6.07800      0.00000      92.2080
      22       J0842-4851      0.64435400      0.14817118      1.89000      6.47400      0.00000      91.6360
      23       J0907-5157      0.25355600      0.23620499      3.20000      9.46200      0.00000      87.3380
      24       J0924-5814      0.73950100      0.13831097      1.74800      6.02200      0.00000      92.2300
      25       J0942-5552      0.66436700      0.14592241      1.86200      6.47200      0.00000      91.6660
      26       J1001-5507       1.4365830     0.099234035      1.22800      4.47800      0.00000      94.2940
      27       J1034-3224       1.1505900      0.11088319      1.36000      4.88600      0.00000      93.7540
      28       J1038-5831      0.66199200      0.14618393      1.76000      6.40400      0.00000      91.8360
      29       J1047-6709      0.19845100      0.26699269      3.82400      10.5520      0.00000      85.6240
      30       J1056-6258      0.42244700      0.18299528      2.24000      7.68200      0.00000      90.0780
      31       J1136-5525      0.36470600      0.19694935      2.46800      8.24400      0.00000      89.2880
      32       J1146-6030      0.27337200      0.22748303      3.08600      9.22600      0.00000      87.6880
      33       J1157-6224      0.40052200      0.18793723      2.49000      7.83600      0.00000      89.6740
      34       J1243-6423      0.38848100      0.19082757      2.48000      8.07400      0.00000      89.4460
      35       J1306-6617      0.47302600      0.17293524      2.16200      7.23400      0.00000      90.6040
      36       J1319-6056      0.28435100      0.22304815      2.86000      9.13000      0.00000      88.0100
      37       J1326-5859      0.47799100      0.17203474      2.25000      7.36400      0.00000      90.3860
      38       J1326-6408      0.79267000      0.13359180      1.62600      5.88600      0.00000      92.4880
      39       J1326-6700      0.54300900      0.16140705      2.01000      6.82600      0.00000      91.1640
      40       J1327-6222      0.52991300      0.16338934      2.24800      7.22400      0.00000      90.5280
      41       J1327-6301      0.19647900      0.26832920      3.60600      10.7620      0.00000      85.6320
      42       J1328-4357      0.53269900      0.16296152      2.10000      7.25800      0.00000      90.6420
      43       J1357-62      0.45576100      0.17618033      2.25600      7.49000      0.00000      90.2540
      44       J1401-6357      0.84279000      0.12955862      1.65400      5.64200      0.00000      92.7040
      45       J1418-3921       1.0968060      0.11356934      1.36200      4.94000      0.00000      93.6980
      46       J1424-5822      0.36673400      0.19640404      2.55800      8.28400      0.00000      89.1580
      47       J1428-5530      0.57029000      0.15749912      2.01800      7.09000      0.00000      90.8920
      48       J1430-6623      0.78544100      0.13420516      1.73600      5.86200      0.00000      92.4020
      49       J1435-5954      0.47299500      0.17294091      2.11000      7.49800      0.00000      90.3920
      50       J1456-6843      0.26337700      0.23175926      3.20400      9.79200      0.00000      87.0040
      51       J1522-5829      0.39535300      0.18916182      2.51600      8.04600      0.00000      89.4380
      52       J1534-5334       1.3688810      0.10165837      1.28000      4.60400      0.00000      94.1160
